NO;Kode;Nama_Barang;Tipe_Merk;Jumlah;Tempat;Foto;Kondisi
1;2*;3;4;5;6;7;8
1;3.02.05.01.016: 2021-F ;Drone ;Drone ;1;Lab / R.25;;Baik 
